model,version,train_seconds,train_rows,validation_rows,test_rows,run_id,validation_mae,validation_r2,test_mae,test_r2,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
ridge,v1,0.09335741599999992,25329,8713,6533,5ecd14ae1202431eafd31db34af97856,802.1834812755502,0.7298359725602511,803.608402802801,0.734737783550372,,,,,,,,,,
forest_regression,v1,0.9566820419999997,25329,8713,6533,305404f849c44ae38eced3ba7871ce17,238.84076069357644,0.9637171561719432,228.6160324464198,0.9617496148360386,,,,,,,,,,
logistic,v1,0.09619716700000014,25329,8713,6533,6ed971ac3bc04d23b1ae38b17a0e518a,,,,,0.9701595317341903,0.8008097165991903,0.9860418743768694,0.8838248436103664,0.9970978116234953,0.9580590846471759,0.729483282674772,0.9903713892709766,0.8401400233372228,0.9939769654405797
forest_classifier,v1,0.27640704100000013,25329,8713,6533,b727e35d0cdd4160a919ffaebfbe6fb8,,,,,0.9911626305520487,0.9486434108527132,0.9760717846460618,0.9621621621621622,0.9991273908495009,0.9839277514158886,0.8820638820638821,0.9876203576341128,0.9318624269954575,0.9968575883886184
neural_network,v1,2.5098548340000004,25329,8713,6533,68b7b0012a914e4da78af913059b0850,282.08621992335344,0.9531348546352332,271.2878361224591,0.9527646560582468,,,,,,,,,,
